,CCLDO,AEP,FNRN,EZPW,BLTE,ETON,CTDD,SENEB,CDZIP
0,0.0016765069782086,-0.0174545793326683,-0.0044494455061201,0.0398603978249783,-0.0198681317569462,-0.0093604337072803,0.0,0.0042194451140053,-0.0497859868466094
1,0.0050127225633724,0.0215246612239929,-0.0011154616427044,-0.0179216090043126,-0.1041844185859566,-0.0157981014050666,0.0039919330037504,0.0,0.0041752565577897
2,0.0049876289223102,0.0161176662407662,0.0,-0.0090827490337824,0.0678579895893949,-0.0258079360643415,-0.009004363497092,0.0,-0.0125786414121958
3,0.0148149821407315,0.0196696488419133,-0.001116589809219,0.0216614762707176,-0.034399928402324,0.0416060374694081,0.0,0.0,-0.0008442975606651
4,0.021019409213792,0.0082790053645142,0.0,-0.0035778179907354,0.0309257229584766,0.0186340616074451,-0.0121335811965856,0.0,0.0042140684603269
5,0.0529719803105548,0.0077438400111343,-0.0169018815562522,0.0273990111414928,0.0705384801249407,0.0091884173317751,0.0141416856760201,0.0,0.0092088705125339
6,0.0090633315962338,0.0094225292664941,0.0,0.0026120809472968,0.0072708131293054,-0.0215724646477048,0.0030043260139073,0.0310905740948702,0.0008330450152121
7,0.0,0.0056573196918548,0.014664719162629,-0.0381083162164805,0.0193974339528557,-0.0284379838841076,-0.010050229233445,0.0,-0.0167928510881689
8,0.0183272107527567,-0.0185922649244676,0.001119206808628,0.0258596639182074,0.0450236813739551,0.1005412797230262,-0.0152676055185192,0.0037345353414501,0.0176253045910051
9,0.0113045105210651,0.016402489341128,0.0,-0.0159718880473971,0.0292534568600122,0.0200867393267664,0.008171823062037,0.0,0.038596465446685
10,0.0,-0.0074119797093878,0.0,-0.018051100632831,-0.0080952689358911,-0.0056980156960336,0.0,-0.00373453534145,-0.003447901092614
11,0.0,0.0243440046091398,0.0055772044836013,0.0045434146653867,0.0102917347792965,0.0501498018260154,0.0020324757419703,0.0,-0.0211044737504664
12,-0.0014608120307096,0.0011338308592215,0.0,-0.0454412695621311,0.0019483205724223,0.018843069660936,0.0111054870660724,0.0,-0.0032869040892344
13,-0.0296758546702455,0.0039582215493893,0.0044395686804044,-0.0104912412218552,0.049832428534519,-0.0107239530807729,0.0060061230853048,0.0,0.0283992890790671
14,-0.029031868506672,0.0023673414225162,-0.0100167731640058,-0.0106025677899839,0.0023121044778953,0.0107239530807729,0.0119048682572875,0.0,-0.0136932071622102
15,0.1373999555506567,0.0118650513373621,0.0,0.0057971582807596,-0.0023121044778952,-0.0080321640063423,-0.0019742904460062,0.0069485891518872,0.0136932071622102
16,0.0118217053383072,0.0078690488432726,0.0,-0.0038610049255467,-0.0093024281486371,0.0,-0.0169410825080429,0.0,0.0
17,0.1224021248529699,0.0138390380448272,0.0,-0.0009676080914527,-0.0070340088316916,-0.0782521879568158,-0.0141703145505942,0.0,-0.0202024474181187
18,0.0169883427051186,0.0072305660560574,0.0,-0.0067994136950853,-0.0106447076550397,-0.0029112073785716,0.0071101980910732,0.0090787597303125,0.0065092402559084
19,0.2091047544234855,-0.0009828157885889,0.0,0.0048614766780441,-0.0087179834682663,0.0343873094147021,0.0070601164595211,0.0,0.0056611579175565
20,0.0722548753332857,-0.0080083119663864,0.0,0.0029055451084937,0.0075282334763033,0.0222850897478908,0.003010472220887,0.0,0.0037831379779551
