,CTBB,EZPW,SENEB,CCLDO,PSIX,FTS,APEI,FRAF,NUTX,AMLX,FNRN,BLTE,ADAMM,RTX,CDZIP,GILD
0,0.0020181693725583,0.0398603978249783,0.0042194451140053,0.0016765069782086,0.0463046350203793,-0.0107127352938684,-0.0031771244265476,0.0190700426757162,0.2581702015608884,-0.029413857701085,-0.0044494455061201,-0.0198681317569462,-0.0048022728088994,0.0081648998552063,-0.0497859868466094,-0.0065157409307633
1,0.0,-0.0179216090043126,0.0,0.0050127225633724,0.0,0.0133729205045675,-0.0039855960895052,0.0011326281961736,-0.0414260727628115,-0.0049875367663907,-0.0011154616427044,-0.1041844185859566,-0.0008318660026785,-0.000892690229366,0.0041752565577897,-0.0056616663562421
2,-0.0020181693725584,-0.0090827490337824,0.0,0.0049876289223102,-0.0275246462942194,0.0108336611151582,-0.0040016211289029,0.0561306981398647,-0.0106302738947823,-0.0100503262204275,0.0,0.0678579895893949,-0.0031147716564592,-0.000397243323919,-0.0125786414121958,-0.0115710502449411
3,-0.0020222506182077,0.0216614762707176,0.0,0.0148149821407315,0.0365337075286448,0.0109779089367009,0.0111643416449559,0.0598897697533896,0.0635838407398857,-0.057158420923091,-0.001116589809219,-0.034399928402324,0.0109243821749495,0.008404628883376,-0.0008442975606651,0.0090279414776761
4,-0.007110137998451,-0.0035778179907354,0.0,0.021019409213792,0.0,0.0139390860409827,0.0312281873665777,0.0245615120039326,-0.0129778538593029,0.057158420923091,0.0,0.0309257229584766,0.0052448592647745,0.0,0.0042140684603269,0.0028418661463876
5,0.0131646625562484,0.0273990111414928,0.0,0.0529719803105548,-0.013544211986474,0.0023043898985899,0.0015360605261925,-0.0215419798289433,-0.0324511942816644,-0.015267457310675,-0.0169018815562522,0.0705384801249407,0.0102793921285722,-0.0017738948391769,0.0092088705125339,0.0011943196065606
6,-0.0040322739395896,0.0026120809472968,0.0310905740948702,0.0090633315962338,0.0224728341776424,0.0015334192197334,0.0144764839790225,0.0096684672996147,0.0044876265631251,-0.0365576227233528,0.0,0.0072708131293054,-0.0077318499787874,-0.0035573362714222,0.0008330450152121,0.0007456730586874
7,-0.0070958414057493,-0.0381083162164805,0.0,0.0,-0.0689929169000151,0.0040774519818785,0.0349347540266367,0.0069432581761743,-0.025700522510775,-0.054658426074659,0.014664719162629,0.0193974339528557,0.0025838645959801,0.0068071418210184,-0.0167928510881689,-0.0273535885205362
8,-0.0091979601183683,0.0258596639182074,0.0037345353414501,0.0183272107527567,0.0235305871802018,-0.0066343541659286,0.0428943806232611,0.0016461429798611,0.0136883772435141,-0.0112995445993746,0.001119206808628,0.0450236813739551,0.0077120739040426,-0.002953924772377,0.0176253045910051,0.0022956846938492
9,0.007161412907459,-0.0159718880473971,0.0,0.0113045105210651,-0.0235305871802017,0.0129722360015454,-0.0356163002333562,-0.0016461429798611,-0.0559151309871688,0.076540069992592,0.0,0.0292534568600122,-0.0023500385793865,0.010105576260085,0.038596465446685,0.0079171184803238
10,-0.0092167380733185,-0.018051100632831,-0.00373453534145,0.0,0.0235305871802018,-0.0071011257806578,0.0028964511211799,-0.0026392334379663,-0.0341219181054268,-0.0485270599598277,0.0,-0.0080952689358911,0.0036295719280969,-0.0090214805259551,-0.003447901092614,-0.0112857835297507
11,0.0061538218502034,0.0045434146653867,0.0,0.0,0.0,0.0058369445634206,-0.0007233439027728,-0.0151391420940254,0.0016514870697296,0.0641931620753257,0.0055772044836013,0.0102917347792965,0.0071780480829622,-0.0029593048069662,-0.0211044737504664,0.0047435504362204
12,0.0050994634340246,-0.0454412695621311,0.0,-0.0014608120307096,0.0,0.0065574868662573,0.0390258958697165,-0.0143396184169668,0.0608187583625236,0.0356272048203988,0.0,0.0019483205724223,-0.0118778292218923,0.0065974339388876,-0.0032869040892344,-0.0027514771035901
13,0.0151440786668019,-0.0104912412218552,0.0,-0.0296758546702455,0.0229894955421708,0.0032626372874945,0.0482266653934737,-0.0089810400857794,0.0543940912298786,0.0148885984000414,0.0044395686804044,0.049832428534519,0.0068288373482099,-0.0048208160019278,0.0283992890790671,-0.0084546218265479
14,0.0099701989390695,-0.0106025677899839,0.0,-0.029031868506672,0.0,0.0044999022368645,0.0326186780251567,-0.0048696010466652,-0.0103474937405698,-0.0199011354312524,-0.0100167731640058,0.0023121044778953,-0.0025552529493354,0.0050170404023535,-0.0136932071622102,0.0116637263310801
15,-0.0149925902179568,0.0057971582807596,0.0069485891518872,0.1373999555506567,-0.0183491206061835,0.0027399374274545,-0.0260092434743965,-0.0197189114285802,-0.0999270397134472,-0.0101010862558781,0.0,-0.0023121044778952,-0.0059881051057639,0.01286956038095,0.0136932071622102,-0.0012212399226122
16,-0.0162441714946711,-0.0038610049255467,0.0,0.0118217053383072,0.2044514145533374,0.0052103645675718,0.1631445840633023,-0.022295034995507,0.0605279693076457,-0.0205135815333097,0.0,-0.0093024281486371,0.0025706799758739,0.006854209233714,0.0,-0.0082835345727067
17,-0.0030754760116118,-0.0009676080914527,0.0,0.1224021248529699,-0.0345524398461111,0.0152262064100661,0.0507334531194244,-0.0113367319244868,0.0198935584978349,-0.0209431542368392,0.0,-0.0070340088316916,0.0004278547456561,0.0171693859842362,-0.0202024474181187,-0.005250980184913
18,0.007161412907459,-0.0067994136950853,0.0090787597303125,0.0169883427051186,0.324119480229973,0.0017045423128513,-0.0524136935490207,0.0051357685277196,-0.0449339670978657,-0.0741079673018989,0.0,-0.0106447076550397,0.0034157671242895,0.0054701403957744,0.0065092402559084,0.0211436641031475
