,MSTT,LNZLP,STSB,AVAN
0,-0.0004632846967273,-0.0034742362681862,0.0117945764928368,-0.0126317469059005
1,-0.001855288101746,0.0126802851759092,-0.0084104785085964,0.0
2,0.0004641448215143,-0.0068965790590603,0.0200675630508093,0.0084388686458646
3,0.0060143600216887,0.0091849095770725,-0.0066445427186686,-0.0042105325363434
4,-0.0032340060526509,0.0,0.007472014838701,-0.0084746269909722
5,-0.0018527101177296,-0.0126511175535588,0.0,-0.0346354966627563
6,0.0023153518099972,0.016073824831061,-0.0217399866364058,-0.0133039656263628
7,0.0046146828546724,-0.0091533819864872,-0.0093418938414289,0.0176995770994008
8,-0.00507732454694,-0.0080785205652014,0.0152416159686172,-0.0176995770994009
9,0.0013872834594863,0.0057770235769223,-0.0025241914959069,-0.0089686699827603
10,-0.0009246417672186,-0.002306806097915,0.0042034530156269,0.0134230203321407
11,0.0023100033372054,0.0,0.0008385744726211,-0.0270286723879192
12,0.0004613610231779,0.0069045153465444,-0.0092632241318727,0.0045558165358606
13,0.0009220839749683,0.0045766670274118,0.0042211966436245,0.0045351551653913
14,-0.006936443996657,0.0,0.003364174745632,0.0090090699423659
15,-0.0041850793472044,0.0113508596686894,0.0058602093200944,-0.0044943895878393
16,-0.0027998151747466,-0.0159275266961013,0.011618387953865,-0.0045146803545265
17,-0.0004673989334915,-0.0022962122603502,-0.0455775084963192,0.0045146803545266
18,-0.0070373267205762,0.0011487652038733,0.0505157901369017,0.0178576174000064
19,-0.0004709206585733,0.0114156490836767,0.0049140148024291,0.0088106296821549
20,0.0,0.0079141170559905,0.00244798163864,-0.0266682470821612
21,0.0,0.0067340321813441,0.038374012881615,0.0089686699827603
22,-0.0047214440871994,-0.0101181301655846,0.0331692574699261,0.0044543503493803
23,0.0033073500500014,-0.0022624444039695,0.0007584376548619,-0.0044543503493803
24,0.0042362972274213,0.0,-0.0222316553615967,0.0088889474172459
25,-0.0070704984632964,0.0464685369084651,-0.0219444542545593,0.0
26,0.0033057881344994,-0.0363276049324157,0.0039541372199804,-0.008888947417246
27,-0.0033057881344994,0.0199784669308862,-0.0296377319546758,0.0088889474172459
28,-0.0128542593529822,-0.0110498361865849,0.0,-0.0044345970678657
29,0.0033484843532815,0.0,0.0137264973135733,-0.0044543503493803
30,-0.0047869885572245,0.009950330853168,0.0095770883643105,0.0044543503493803
31,0.0033532965553759,-0.0044101504775527,0.0023800090568113,0.0044345970678657
32,0.0019111329276045,-0.0099945307249956,0.059225302590014,-0.008888947417246
33,-0.0028680707996722,0.0187954676200379,0.0643517972083571,0.0088889474172459
34,0.0,0.3355329754375709,-0.0183750753049943,0.0305034542934146
35,-0.0062425172707865,0.1201295365375069,0.0371061120110575,-0.0129591446425052
36,-0.0170030814759344,-0.0175135824927083,-0.0103627870355466,0.0
37,-0.0103423724145942,-0.0619505888615385,0.0089872710002366,0.0086580627431145
38,-0.0220229120874373,0.0310905870700311,-0.0089872710002366,-0.0086580627431145
39,-0.0209672728439308,0.0137533836376123,0.0448140157897926,0.0
40,0.003611043387388,0.0199294852365997,0.0092532054804831,0.0043384015985981
41,-0.0119141528435702,-0.0134801615566926,0.0808520966290947,0.0043196611445163
42,0.0201193270827558,0.002140564499111,-0.0036474204570435,-0.0130153681120703
