,LNZLP,RTSB,MSTT,RKKE,PHOR,HIMCP,UTAR,CHGZ,SFIN,RUSI,KUZB,CNTLP,VRSB,IRKT,SELG,BISVP,IGST,MISB,VSMO,DIOD,AMEZ,STSB,ROST,SAGO,AVAN,SVAV,ARSA,WTCM,LVHK,TGKBP,KRKOP
0,-0.0034742362681862,0.0098522964430116,-0.0004632846967273,0.0117725362252671,-0.0090703569699642,0.0126105075919297,0.0,-0.0186051878310343,0.0045445234173222,0.0049875415110391,0.0016515280384731,-0.0040678022193254,-0.0059880418446226,-0.0007742934959046,-0.0055847347207852,-0.0021253993123134,0.0226293381307599,0.0153849188394794,0.001597444429157,-0.0056899157776785,0.021435280720065,0.0117945764928368,-0.0028449521322313,0.0098200461809755,-0.0126317469059005,0.0,0.0485644560091237,0.0110702237542471,-0.0007421150618883,0.0073801072976224,0.0864624649978038
1,0.0126802851759092,0.0,-0.001855288101746,0.0051880790817778,0.0182828701647636,-0.0062853758149608,-0.0043636432877732,0.0,-0.0103584932827422,0.2221480310727081,0.0076712704966512,-0.0359651486935152,0.0029985029962566,-0.0007748934909246,0.0098083710985198,0.00106326432133,0.0777894096162874,0.0076045993852192,-0.0225998319172409,0.0056899157776786,-0.0342953964496698,-0.0084104785085964,-0.0114614435190065,0.0129451645920369,0.0,-0.0083333815591443,0.0419951210366032,0.0109490144896703,-0.0014858843744245,-0.0014716706114562,-0.0162369470302567
2,-0.0068965790590603,-0.0098522964430115,0.0004641448215143,-0.0064893154397497,0.0031263982589158,0.0112853862316663,-0.0058479698824231,0.0139862419747398,0.0045709616258227,-0.1093525369273637,-0.0181773112835425,0.0056179923042232,-0.0120483385161744,-0.0172013623585466,-0.0102565001671891,-0.0053276631077876,0.0134442515292624,-0.0076045993852193,0.0073200814865058,0.0028328630843041,0.0342953964496698,0.0200675630508093,0.0028776998276149,-0.0194811355718225,0.0084388686458646,0.0104059211611168,0.0588405000229333,-0.0018165309263978,-0.0112150708201399,-0.0029498546464211,-0.041784652016503
3,0.0091849095770725,0.0098522964430116,0.0060143600216887,-0.0026075634070808,0.0048932481977517,-0.0037476621002397,0.0043891804187631,-0.0093023926623136,-0.0029063753072144,-0.054808236494995,0.0016662042177503,-0.0098522964430115,0.0150378773645405,0.0047207011349373,0.014904068563736,0.0063897980987709,-0.0441661502875641,0.0300774552372779,-0.0246115785965668,0.0,0.0814221047196427,-0.0066445427186686,-0.0115608224010759,0.0696483942898417,-0.0042105325363434,-0.0125001627642314,-0.0545208388784171,0.0108500160240656,0.0007515971793121,0.0029498546464211,-0.001219884262287
4,0.0,0.0,-0.0032340060526509,-0.0013063359140554,-0.0165551879455947,-0.0062774845191389,0.0029154539601241,0.0,-0.0004158868847633,0.1193467576325662,0.0148722102225824,-0.0257893948829142,-0.0059880418446226,0.0,-0.0059794220895362,0.0,-0.0232568621642672,0.0,-0.0033277900926746,0.0,-0.02795607726659,0.007472014838701,0.0086831225734608,0.021180822079447,-0.0084746269909722,0.0062696130135953,0.0,0.0283706971292155,-0.0082988028146951,0.0014716706114562,-0.0388911977210449
5,-0.0126511175535588,0.0,-0.0018527101177296,-0.0013080446600153,-0.0047484543716604,0.0,0.0058055315453204,0.0185190477672375,0.0004158868847633,0.1140724562598478,0.0021845994488391,0.0014503265776466,-0.0030075210639551,-0.003932368417721,-0.0080285890665745,-0.0031897953681,0.0108651298691037,0.0073801072976224,-0.0202027073175194,0.0140451747030476,0.0092355710330818,0.0,-0.0174423026633424,-0.0273158106469629,-0.0346354966627563,-0.0083682496705165,0.012848142477849,-0.0070175726586465,-0.0083682496705165,-0.0058997221271881,-0.0411260805128279
6,0.016073824831061,0.0,0.0023153518099972,0.0,-0.0038605702541157,0.0346569338090441,0.0014461318499997,0.0,0.0004157139947625,0.261792182072026,0.0108519784456548,0.0327898228229907,0.0089955629085777,0.0062843883181516,-0.0096749545317763,0.0116465053863235,-0.0235502893964194,0.0289875368732524,0.0202027073175194,0.0423271373748569,0.0111733005981252,-0.0217399866364058,0.0116619397478429,-0.0155041865359653,-0.0133039656263628,-0.0169495583137733,-0.0021299262578248,-0.0413356240579071,0.0129034048359077,0.0073692301065481,0.0180185055026784
7,-0.0091533819864872,-0.0098522964430115,0.0046146828546724,0.0,-0.0146690689046507,-0.0208981176376165,0.0129219314169205,-0.0045977092486295,-0.0033305609471646,0.3327867287640369,0.0520485406876779,-0.0056258938821684,0.0206802052375388,-0.0118158129313808,0.0067598274533756,-0.004219415542708,-0.0346354966627563,-0.0071684894786125,0.0041580101486636,-0.0175324787616406,-0.0333792220738347,-0.0093418938414289,0.0028943580263645,-0.0094192219164916,0.0176995770994008,-0.0150702529209981,-0.0281099589318934,-0.0782095265918755,0.0216345625679936,0.0058565321127129,0.0129034048359077
8,-0.0080785205652014,0.0,-0.00507732454694,-0.0065660117708905,0.0027668913201952,0.0037197811025318,-0.0057224762740662,-0.0046189458562944,0.0124328165919293,-0.2703964361647553,-0.0041067819526534,-0.0042402890388854,0.0,-0.0095542128048116,0.0029151270784007,0.0031662295580495,-0.0097388994618667,-0.0144930073025668,0.0,-0.0109440216793173,0.0062467667996201,0.0152416159686172,-0.0028943580263645,0.0094192219164915,-0.0176995770994009,-0.0087146521024437,0.0087336799687546,-0.0281708769666962,-0.0118783876226288,0.0456570023373951,-0.0067535230157797
9,0.0057770235769223,-0.009950330853168,0.0013872834594863,0.0065660117708906,0.0022999090174757,-0.0087011114527361,-0.0115441397468653,-0.0046403795565022,-0.0161930048535793,-0.0811634071072068,0.0526041632185154,0.0084626739187337,-0.0147278067102433,0.0039920212695374,-0.0210438809871825,-0.0095289233458782,0.0017777782459993,0.0144930073025668,0.0041407926660313,-0.0082873402485702,0.0195278558889952,-0.0025241914959069,-0.0029027596579614,-0.0414732482065751,-0.0089686699827603,-0.0110012110619734,0.0,0.0261847789950667,-0.03650595484453,-0.0340458414097171,0.0156878517495456
