,BTSGU,IDCC,RTX,BLTE,TXNM,PSIX,SRBK,FNRN,TBLD,ADAMM,PAHC,GILD,ASA,GL,SATS,LINC,ETON,UNFI,EZPW,MIRM,WMT,TVTX,FRAF,SENEA,SENEB,PLTR,WLFC,AHR,AGX,ASTS,VIAV,AMLX,CCLDO,CTBB,VISN,MO,NUTX,CDZIP
0,0.0068179046771517,0.003933226051988,0.0081648998552063,-0.0198681317569462,-0.0052683304207006,0.0463046350203793,-0.0075963480346803,-0.0044494455061201,-0.0025957049899098,-0.0048022728088994,-0.0167942767859173,-0.0065157409307633,-0.004148225880303,0.0718914576873281,-0.0206780957630958,0.0051151201295113,-0.0093604337072803,-0.0293829875721949,0.0398603978249783,0.00417364467746,-0.0015027749917626,-0.0272671379950501,0.0190700426757162,0.0058299225933751,0.0042194451140053,-0.0009136802061545,0.030033622861254,-0.0190482127395053,0.0291700724759269,-0.0292703550626511,0.0,-0.029413857701085,0.0016765069782086,0.0020181693725583,-0.0060180241541818,-0.0048958911031758,0.2581702015608884,-0.0497859868466094
1,-0.0162988923864065,-0.0081946467545391,-0.000892690229366,-0.1041844185859566,-0.0022265086146442,0.0,-0.0010899789968429,-0.0011154616427044,-0.0045587953616263,-0.0008318660026785,-0.0092807050764609,-0.0056616663562421,0.0088679833166788,0.0529345104323972,0.0093224133622675,-0.0112880225406901,-0.0157981014050666,-0.0117838117593117,-0.0179216090043126,-0.0066861864370451,-0.0031802076600664,-0.0263607234086257,0.0011326281961736,-0.0104471981379085,0.0,-0.0263965181484277,-0.0152064127405592,0.0007689546072033,-0.0192963165088517,0.0147422679191739,-0.0181932999431195,-0.0049875367663907,0.0050127225633724,0.0,-0.0040322722168598,0.0085522774655301,-0.0414260727628115,0.0041752565577897
2,-0.0026231428060511,-0.0036519930472331,-0.000397243323919,0.0678579895893949,0.0063877696909028,-0.0275246462942194,0.0043525950207727,0.0,0.0058576319473724,-0.0031147716564592,0.0131224766085304,-0.0115710502449411,0.0122844364006476,0.0276083315681016,0.038506694902419,-0.0103734777920842,-0.0258079360643415,0.0075148660760433,-0.0090827490337824,-0.0118095293284843,-0.0065597570140437,-0.0322334234790057,0.0561306981398647,0.0106233024377979,0.0,-0.0084826291388234,0.012621634450967,0.0310278550300711,0.0155324749360075,0.042966108164434,-0.0098401682785187,-0.0100503262204275,0.0049876289223102,-0.0020181693725584,-0.0412429851587339,0.0048544065569729,-0.0106302738947823,-0.0125786414121958
3,0.0214959749813288,0.0100888637583134,0.008404628883376,-0.034399928402324,0.0134751246930487,0.0365337075286448,-0.0010863212053204,-0.001116589809219,-0.0012988365857459,0.0109243821749495,0.019742532446668,0.0090279414776761,0.0161479346669533,0.0264170785989202,-0.0006870648619409,0.0103734777920843,0.0416060374694081,-0.008592955140539,0.0216614762707176,0.0101309340683961,0.0045458537635296,-0.0138891817257698,0.0598897697533896,0.0179776653036318,0.0,-0.0317334257811343,-0.0067918015087297,-0.0157720305043273,0.0200642574495366,-0.0236418531449975,-0.0024753054659221,-0.057158420923091,0.0148149821407315,-0.0020222506182077,-0.0288327809476083,0.01894778067961,0.0635838407398857,-0.0008442975606651
4,0.0009344976466622,0.0130573222526359,0.0,0.0309257229584766,0.0021826558526085,0.0,0.0075798965467903,0.0,0.0038909644611057,0.0052448592647745,-0.0189759763893037,0.0028418661463876,-0.0552755579125245,-0.0052580181112091,0.0344512435083151,0.0112880225406901,0.0186340616074451,-0.0185089735164032,-0.0035778179907354,0.0150065598031472,0.0101948843073897,0.0224728762297155,0.0245615120039326,-0.014812543819077,0.0,0.0241324460404394,-0.0184085620271664,0.0030234336065583,-0.0045322608178633,0.0329442365230988,-0.0149815397913412,0.057158420923091,0.021019409213792,-0.007110137998451,0.0999286730080334,0.0113396403037833,-0.0129778538593029,0.0042140684603269
5,0.0155220402258778,0.0104660731905015,-0.0017738948391769,0.0705384801249407,-0.0109619123937335,-0.013544211986474,0.0139261493408187,-0.0169018815562522,0.0103026786034184,0.0102793921285722,0.0420167073953394,0.0011943196065606,0.0197551707789713,0.1320240076446645,0.0158105906299789,0.0030565212584707,0.0091884173317751,-0.0222232215662274,0.0273990111414928,0.0102902739348517,-0.0176134533068163,-0.0189824744850499,-0.0215419798289433,0.0036800022170782,0.0,0.0314506136038491,0.0095500378886339,0.0275416894946348,-0.0001622559833563,-0.0046403749359873,0.0075188849803451,-0.015267457310675,0.0529719803105548,0.0131646625562484,-0.0218046176074939,0.0070222312073137,-0.0324511942816644,0.0092088705125339
6,0.0061876113438668,0.0073517873452716,-0.0035573362714222,0.0072708131293054,0.0093254233497792,0.0224728341776424,-0.0042644296672477,0.0,-0.0070715687773787,-0.0077318499787874,-0.080287624612671,0.0007456730586874,0.0053206317605962,0.0368013677922801,0.0372076221608759,0.0111280520557841,-0.0215724646477048,-0.0090293984580556,0.0026120809472968,-0.0165156360973565,0.0131138775861674,-0.0518435967786604,0.0096684672996147,0.0218002085416394,0.0310905740948702,-0.0023131741792525,-0.0052716820576447,0.0051262452331758,-0.0068383173212019,-0.004662008442114,-0.0025000585226328,-0.0365576227233528,0.0090633315962338,-0.0040322739395896,0.0602708091848208,0.0011657983342805,0.0044876265631251,0.0008330450152121
7,-0.0280337874988833,0.0025053716764752,0.0068071418210184,0.0193974339528557,0.0021496925754407,-0.0689929169000151,0.0,0.014664719162629,-0.0058232377013993,0.0025838645959801,-0.009600203867871,-0.0273535885205362,0.0221584374016565,-0.039709421944721,0.0087775071891274,0.003013632303455,-0.0284379838841076,0.0045248904489716,-0.0381083162164805,0.0193780259087036,0.0056629261191743,-0.0110702135277854,0.0069432581761743,-0.0084214931500218,0.0,0.0055426901251906,-0.0012205664134279,0.0,0.0,0.0230956919020711,-0.0025062646547841,-0.054658426074659,0.0,-0.0070958414057493,-0.1470999864454672,0.0143420372518726,-0.025700522510775,-0.0167928510881689
8,0.0084231298499716,0.0079753758897435,-0.002953924772377,0.0450236813739551,0.0,0.0235305871802018,0.0042644296672477,0.001119206808628,0.0019444954446315,0.0077120739040426,0.0230443183261292,0.0022956846938492,-0.0046242705903655,0.0027762023168027,-0.0012492479749428,0.0139443883166728,0.1005412797230262,0.0300189812742368,0.0258596639182074,-0.0012257687886928,-0.0008307708874013,-0.0244142898868694,0.0016461429798611,-0.000863321091639,0.0037345353414501,0.0366308818790401,-0.0016297694765176,-0.0007305966354471,0.0125012945635907,0.0181000240686876,0.0050063231774169,-0.0112995445993746,0.0183272107527567,-0.0091979601183683,0.0226913619968056,-0.0036814294587708,0.0136883772435141,0.0176253045910051
9,0.0282549607096087,0.0022811386026126,0.010105576260085,0.0292534568600122,0.0201697408439602,-0.0235305871802017,-0.0258633821158243,0.0,-0.0006476270404676,-0.0023500385793865,0.2762262918958864,0.0079171184803238,0.0132375329316732,0.0304235214516052,0.0,0.038802207592739,0.0200867393267664,0.0141383662338692,-0.0159718880473971,0.0246328071678019,0.0013288246548689,0.0373177264801642,-0.0016461429798611,0.0055124980080215,0.0,0.0136716336014024,-0.0154085191735692,0.0137933027216448,0.001773182707169,0.0438666408082659,0.0012476893014073,0.076540069992592,0.0113045105210651,0.007161412907459,0.0438942263826105,0.0100919265074458,-0.0559151309871688,0.038596465446685
