,ASTS,CASY,ETON,CCLDO,SENEA,BLTE,CTBB,SRBK,NUTX,FNRN,CDZIP
0,-0.0292703550626511,-0.000735533760182,-0.0093604337072803,0.0016765069782086,0.0058299225933751,-0.0198681317569462,0.0020181693725583,-0.0075963480346803,0.2581702015608884,-0.0044494455061201,-0.0497859868466094
1,0.0147422679191739,-0.0108733810050479,-0.0157981014050666,0.0050127225633724,-0.0104471981379085,-0.1041844185859566,0.0,-0.0010899789968429,-0.0414260727628115,-0.0011154616427044,0.0041752565577897
2,0.042966108164434,0.0007437713975952,-0.0258079360643415,0.0049876289223102,0.0106233024377979,0.0678579895893949,-0.0020181693725584,0.0043525950207727,-0.0106302738947823,0.0,-0.0125786414121958
3,-0.0236418531449975,0.0032591665724854,0.0416060374694081,0.0148149821407315,0.0179776653036318,-0.034399928402324,-0.0020222506182077,-0.0010863212053204,0.0635838407398857,-0.001116589809219,-0.0008442975606651
4,0.0329442365230988,0.009841392857995,0.0186340616074451,0.021019409213792,-0.014812543819077,0.0309257229584766,-0.007110137998451,0.0075798965467903,-0.0129778538593029,0.0,0.0042140684603269
5,-0.0046403749359873,-0.0005104500244053,0.0091884173317751,0.0529719803105548,0.0036800022170782,0.0705384801249407,0.0131646625562484,0.0139261493408187,-0.0324511942816644,-0.0169018815562522,0.0092088705125339
6,-0.004662008442114,0.0073773158261434,-0.0215724646477048,0.0090633315962338,0.0218002085416394,0.0072708131293054,-0.0040322739395896,-0.0042644296672477,0.0044876265631251,0.0,0.0008330450152121
7,0.0230956919020711,0.0067568903103995,-0.0284379838841076,0.0,-0.0084214931500218,0.0193974339528557,-0.0070958414057493,0.0,-0.025700522510775,0.014664719162629,-0.0167928510881689
8,0.0181000240686876,0.0070555411768293,0.1005412797230262,0.0183272107527567,-0.000863321091639,0.0450236813739551,-0.0091979601183683,0.0042644296672477,0.0136883772435141,0.001119206808628,0.0176253045910051
9,0.0438666408082659,0.0100731545534242,0.0200867393267664,0.0113045105210651,0.0055124980080215,0.0292534568600122,0.007161412907459,-0.0258633821158243,-0.0559151309871688,0.0,0.038596465446685
10,-0.0528757020426912,-0.0101493426556247,-0.0056980156960336,0.0,-0.0020636109244451,-0.0080952689358911,-0.0092167380733185,0.0108578418295495,-0.0341219181054268,0.0,-0.003447901092614
11,0.0223722762736616,-0.002883131925089,0.0501498018260154,0.0,0.0073750493430784,0.0102917347792965,0.0061538218502034,-0.0097667794167867,0.0016514870697296,0.0055772044836013,-0.0211044737504664
12,0.0175442931386567,-0.0065483995814837,0.018843069660936,-0.0014608120307096,0.0249759782478314,0.0019483205724223,0.0050994634340246,0.001089978996843,0.0608187583625236,0.0,-0.0032869040892344
13,0.063178941816323,-0.0084376836962068,-0.0107239530807729,-0.0296758546702455,-0.0363182521253463,0.049832428534519,0.0151440786668019,0.0043479689067195,0.0543940912298786,0.0044395686804044,0.0283992890790671
14,0.0121705238484359,0.0291330515312617,0.0107239530807729,-0.029031868506672,-0.0090278469804232,0.0023121044778953,0.0099701989390695,-0.007621370497183,-0.0103474937405698,-0.0100167731640058,-0.0136932071622102
15,-0.0666914109642506,0.0203969699697911,-0.0080321640063423,0.1373999555506567,0.0391603579310635,-0.0023121044778952,-0.0149925902179568,0.0032734015904635,-0.0999270397134472,0.0,0.0136932071622102
16,-0.0086580547005086,-0.0059598146103562,0.0,0.0118217053383072,0.0040167060492907,-0.0093024281486371,-0.0162441714946711,0.0021762948186093,0.0605279693076457,0.0,0.0
17,0.0257524723835428,0.0151636187991951,-0.0782521879568158,0.1224021248529699,0.0170576726746485,-0.0070340088316916,-0.0030754760116118,0.0054200532160709,0.0198935584978349,0.0,-0.0202024474181187
18,-0.0432967655221995,0.0140190962416963,-0.0029112073785716,0.0169883427051186,-0.0177259617651036,-0.0106447076550397,0.007161412907459,-0.0032483791279609,-0.0449339670978657,0.0,0.0065092402559084
19,-0.0088889389399735,0.0078188026380325,0.0343873094147021,0.2091047544234855,-0.004523007133152,-0.0087179834682663,0.0030534450855137,-0.0048928098983715,0.1023448560166327,0.0,0.0056611579175565
20,0.1138068792197701,-0.007374498286076,0.0222850897478908,0.0722548753332857,-0.0042062818679834,0.0075282334763033,-0.0040733355294719,0.0027211358102616,0.0156142471137012,0.0,0.0037831379779551
21,-0.0489893395078147,-0.0002368952136232,0.0054945139192807,0.0169530637792672,0.0145621272678542,0.0106573124466486,0.0192021378895018,-0.0021762948186094,0.0112045885366256,0.0133334467516511,0.0014451297178969
22,0.522473018183837,-0.0111674356859622,0.0,0.0339018403270372,0.0459533410429129,-0.001556024841262,-0.002004013830118,-0.0021810414096058,0.0261183315214423,0.0,0.0169436013276855
23,0.1191605756306241,0.0046310489594584,-0.0082531994982973,0.0148886908872756,-0.0114925033519856,0.0592247220386934,0.0060000333687694,0.0,-0.0345099813225834,-0.0044247193344126,0.0204549521697791
24,0.1509991338037595,-0.0030150946547628,0.0055097162443112,-0.032882829959765,-0.0237177955300841,0.0042161079751844,-0.0009976250616909,0.0021810414096058,0.0139472144946846,-0.0133930900797156,0.0046262049486839
25,-0.1142382213271279,0.0050697201647132,-0.0138315318765596,0.0207401560651443,0.0004930360638132,0.005740760460937,-0.0080159793662555,0.0001087634772258,0.0096486169423796,0.0,0.0114722715107628
26,-0.0117459603268308,0.0027033930295779,0.0193109922723649,0.017873238295952,-0.0065941802889883,-0.0086235891587537,0.0020101729983547,0.0031538525467039,0.0013708334946226,0.0056023182474723,-0.0114722715107628
27,-0.1172462002132741,0.0032875576941276,-0.0165293518931716,-0.0181224230337773,-0.0263106876164024,0.0119206913741177,-0.0172157766068042,0.0,0.013605638815206,-0.0056023182474723,0.0107117519397747
28,0.1353413318323104,0.0145306968724288,-0.0055710398696598,-0.0100250460780749,0.0239924320482061,0.0,0.0010210506082427,-0.003807457015582,0.0080754062315898,0.0,0.0090907756212623
29,0.1173141364440151,-0.0171065642382816,0.0055710398696598,0.002515491259873,0.0013254115632442,-0.0004389916224608,0.0151899690786956,-0.0038219030022786,-0.0607922040085057,0.0,-0.001509448059109
30,0.5260931609606918,-0.0362226951181311,0.0273990135665587,0.0008372468487491,-0.0227739344045484,0.048005824790893,0.005012671708376,-0.015435917127522,-0.0172417898961184,0.0,-0.0144543154652836
31,-0.0700229289831527,0.007136759906512,-0.0218588383135034,-0.0084031562843518,0.0141273815899068,0.0198887656964899,0.0019978915793905,0.0,-0.0339015540586756,0.0,0.0283303262983343
32,-0.016182580677166,0.0125259233925323,-0.0195264041688742,0.0274673228862506,-0.0127733188159787,0.0040941871187602,0.0747318574223503,0.0022198800955535,0.0237047910463772,0.0100615671460785,0.0129512936927107
33,0.0126090529863608,-0.0024442247183995,0.0222850897478908,0.019512796710857,0.0192652165171244,-0.0020450373098314,0.0019287075982706,0.0033202859837442,-0.0044020221809768,0.0,0.0275578408862916
34,0.0340208714417877,-0.0253046987773448,-0.0082988608320718,-0.0056519934969737,-0.0033239313084347,-0.0018440770627418,0.016245009421151,0.0098957510482241,-0.060624634964518,-0.0055772044836013,0.0156141978231274
35,0.0137459077650573,0.010542280245555,0.0110498914973663,0.0620048813483354,-0.0132385833860608,-0.0014366282002197,-0.0028477510511493,-0.0143253610964168,-0.0062696069219258,-0.0214818911008777,0.0209067068239104
36,0.0585478885960459,0.0023277958544545,0.0,0.0150309323351048,0.0080645523420945,0.0002054037648283,-0.0105113685455473,0.0011093240644483,-0.0750760312692163,0.0158732886017256,-0.0040772742119045
37,-0.0780775245539236,0.0053392632195795,-0.0082759671830162,0.0145129728073356,-0.0144953961739637,-0.0047339707126527,-0.0009611098078718,-0.0022198800955536,0.0382424015414662,0.0,0.0245559094062052
38,-0.0163746755771479,-0.0009133228622779,-0.0027739243143501,-0.0173658393975074,-0.009039075647149,0.0116912352549482,0.0162142346799582,0.0,-0.0081900851873821,0.0,0.0033727563522579
39,0.1517894460283204,-0.0054973355993329,0.0055401752530552,-0.0157613325144524,0.0200142420729084,-0.0049060130718511,-0.0104613831764759,0.0099503479332566,-0.0471467329920349,0.0,-0.0081137914643163
40,-0.011207417974557,0.1546187664945939,0.0027586855790165,0.0081389958616166,-0.0376434660206166,0.0237925526285225,-0.0009566201364898,-0.0099503479332566,-0.0714589792068303,0.0111858069827533,0.0081137914643164
41,0.0222906205792595,-0.0120100757863393,0.0,-0.0152674322479719,-0.0006976644427985,0.0024981277805352,-0.0009573221296321,0.0,0.0055401311014662,0.0,-0.0006738398819985
42,0.0237635664483533,-0.0121827163739141,-0.0194721510124062,0.0,-0.00384617987722,-0.002798310701984,-0.0144719936134089,0.0,-0.0073937421821862,-0.0022271974466826,-0.0013485477166418
43,0.1395066296865463,0.0140928551992165,-0.0608002114216917,0.018293011936337,0.0054153572598483,-0.0072318639649759,-0.0038948699987802,0.0263173881307392,0.0818962847914958,0.0,0.0
44,-0.0311174329886057,-0.0012464440247047,-0.0272331249158497,-0.0463760454378484,0.0150430591021126,0.0010076182566945,0.0009751678312953,-0.0108814710032172,-0.0800426737107759,0.0,-0.0273614876673378
45,-0.0150378837076531,-0.0225976912120826,0.0121952615695886,0.0317685384432606,-0.0034382148822395,-0.0148121478344898,-0.0058652129609884,0.0087147129006502,0.0575697974810604,0.0,0.0293838752659782
46,-0.1071446688195302,0.0090789184550491,0.0120483272679741,-0.2369767872574827,-0.0214088682152337,-0.0086224754459609,-0.0058995964056221,0.0010837556435183,-0.0212021880007195,0.0,-0.0013478038468482
47,0.0244990206715008,0.0240514996949186,-0.0060060184699918,0.0494608598483407,0.004738937450653,0.0026768484363782,-0.0009868242197652,-0.0087051261407012,0.0470880336329025,0.0022271974466825,0.0264179238995927
48,0.0610231186448234,0.0003937393236349,-0.0121213491473845,0.02040611323844,-0.0022789223280673,-0.0026768484363782,-0.0009875782315864,0.004361982648598,-0.0329034118331213,0.0,0.0073936600170806
49,0.0225133335970767,0.0018882292259932,0.0240975290802104,0.0081191675594615,0.0087367322109451,-0.0166323840546043,-0.0199608760941285,0.0021740349657954,-0.0376726244332852,0.0,0.011085664119801
