,EZPW,CTBB,CCLDO,SENEB,LINC,FTS,FNRN,BLTE,CDZIP
0,0.0398603978249783,0.0020181693725583,0.0016765069782086,0.0042194451140053,0.0051151201295113,-0.0107127352938684,-0.0044494455061201,-0.0198681317569462,-0.0497859868466094
1,-0.0179216090043126,0.0,0.0050127225633724,0.0,-0.0112880225406901,0.0133729205045675,-0.0011154616427044,-0.1041844185859566,0.0041752565577897
2,-0.0090827490337824,-0.0020181693725584,0.0049876289223102,0.0,-0.0103734777920842,0.0108336611151582,0.0,0.0678579895893949,-0.0125786414121958
3,0.0216614762707176,-0.0020222506182077,0.0148149821407315,0.0,0.0103734777920843,0.0109779089367009,-0.001116589809219,-0.034399928402324,-0.0008442975606651
4,-0.0035778179907354,-0.007110137998451,0.021019409213792,0.0,0.0112880225406901,0.0139390860409827,0.0,0.0309257229584766,0.0042140684603269
5,0.0273990111414928,0.0131646625562484,0.0529719803105548,0.0,0.0030565212584707,0.0023043898985899,-0.0169018815562522,0.0705384801249407,0.0092088705125339
6,0.0026120809472968,-0.0040322739395896,0.0090633315962338,0.0310905740948702,0.0111280520557841,0.0015334192197334,0.0,0.0072708131293054,0.0008330450152121
7,-0.0381083162164805,-0.0070958414057493,0.0,0.0,0.003013632303455,0.0040774519818785,0.014664719162629,0.0193974339528557,-0.0167928510881689
8,0.0258596639182074,-0.0091979601183683,0.0183272107527567,0.0037345353414501,0.0139443883166728,-0.0066343541659286,0.001119206808628,0.0450236813739551,0.0176253045910051
9,-0.0159718880473971,0.007161412907459,0.0113045105210651,0.0,0.038802207592739,0.0129722360015454,0.0,0.0292534568600122,0.038596465446685
10,-0.018051100632831,-0.0092167380733185,0.0,-0.00373453534145,0.0141711977572482,-0.0071011257806578,0.0,-0.0080952689358911,-0.003447901092614
11,0.0045434146653867,0.0061538218502034,0.0,0.0,0.0084073501500344,0.0058369445634206,0.0055772044836013,0.0102917347792965,-0.0211044737504664
12,-0.0454412695621311,0.0050994634340246,-0.0014608120307096,0.0,0.0436829734141081,0.0065574868662573,0.0,0.0019483205724223,-0.0032869040892344
13,-0.0104912412218552,0.0151440786668019,-0.0296758546702455,0.0,-0.0125449128664521,0.0032626372874945,0.0044395686804044,0.049832428534519,0.0283992890790671
14,-0.0106025677899839,0.0099701989390695,-0.029031868506672,0.0,0.0978480971481799,0.0044999022368645,-0.0100167731640058,0.0023121044778953,-0.0136932071622102
15,0.0057971582807596,-0.0149925902179568,0.1373999555506567,0.0069485891518872,-0.0273535442083041,0.0027399374274545,0.0,-0.0023121044778952,0.0136932071622102
16,-0.0038610049255467,-0.0162441714946711,0.0118217053383072,0.0,0.0531823127145861,0.0052103645675718,0.0,-0.0093024281486371,0.0
17,-0.0009676080914527,-0.0030754760116118,0.1224021248529699,0.0,0.0071457351045313,0.0152262064100661,0.0,-0.0070340088316916,-0.0202024474181187
18,-0.0067994136950853,0.007161412907459,0.0169883427051186,0.0090787597303125,-0.0403606019686767,0.0017045423128513,0.0,-0.0106447076550397,0.0065092402559084
19,0.0048614766780441,0.0030534450855137,0.2091047544234855,0.0,-0.0074411381463612,-0.0065909625184134,0.0,-0.0087179834682663,0.0056611579175565
20,0.0029055451084937,-0.0040733355294719,0.0722548753332857,0.0,-0.0008302390529614,-0.00122534498516,0.0,0.0075282334763033,0.0037831379779551
21,-0.0126522479245218,0.0192021378895018,0.0169530637792672,0.0,-0.0024947815628248,0.0075731068628892,0.0133334467516511,0.0106573124466486,0.0014451297178969
22,-0.0049092087809679,-0.002004013830118,0.0339018403270372,0.0,-0.0100419155718906,0.0037808243239137,0.0,-0.001556024841262,0.0169436013276855
23,0.0068661080845094,0.0060000333687694,0.0148886908872756,0.0618151724631098,-0.0101437794130111,-0.0009807038539849,-0.0044247193344126,0.0592247220386934,0.0204549521697791
24,-0.0217399190239049,-0.0009976250616909,-0.032882829959765,-0.0272722891068703,0.0008491953908648,0.0017153788141281,-0.0133930900797156,0.0042161079751844,0.0046262049486839
25,0.0039880372912306,-0.0080159793662555,0.0207401560651443,0.0,0.0067682090661632,0.0017125399488418,0.0,0.005740760460937,0.0114722715107628
26,-0.0079920427267007,0.0020101729983547,0.017873238295952,0.0072493393793288,0.0008428343587639,-0.0110607371541156,0.0056023182474723,-0.0086235891587537,-0.0114722715107628
27,0.0010024336982911,-0.0172157766068042,-0.0181224230337773,-0.0374502265155521,-0.0101609583902192,-0.0194665069026212,-0.0056023182474723,0.0119206913741177,0.0107117519397747
28,0.0218046571354607,0.0010210506082427,-0.0100250460780749,0.0297157447358123,0.0076304017531824,0.0055291900972827,0.0,0.0,0.0090907756212623
29,0.0039138956688909,0.0151899690786956,0.002515491259873,0.0,0.0025305566370369,-0.01566101139272,0.0,-0.0004389916224608,-0.001509448059109
30,-0.0039138956688908,0.005012671708376,0.0008372468487491,0.0,-0.017850031144481,-0.0221373285519484,0.0,0.048005824790893,-0.0144543154652836
31,0.0087848445480405,0.0019978915793905,-0.0084031562843518,0.0,0.011087543477837,0.0160086756474979,0.0,0.0198887656964899,0.0283303262983343
32,0.019249854450386,0.0747318574223503,0.0274673228862506,0.0,-0.0059549043808489,0.024042750212672,0.0100615671460785,0.0040941871187602,0.0129512936927107
33,-0.0163386701070358,0.0019287075982706,0.019512796710857,0.0,-0.0163444958114073,-0.0027544505693585,0.0,-0.0020450373098314,0.0275578408862916
34,-0.0068060248977024,0.016245009421151,-0.0056519934969737,-0.0500850898380279,-0.0344100458034308,0.0089864284428347,-0.0055772044836013,-0.0018440770627418,0.0156141978231274
35,0.0106744981076572,-0.0028477510511493,0.0620048813483354,0.0,-0.0153779666891847,0.0116122594802343,-0.0214818911008777,-0.0014366282002197,0.0209067068239104
36,0.0057748399550221,-0.0105113685455473,0.0150309323351048,0.0,-0.0466502482422419,-0.0007372202037571,0.0158732886017256,0.0002054037648283,-0.0040772742119045
37,0.0057415915660589,-0.0009611098078718,0.0145129728073356,0.0,-0.0192869818732645,-0.0166071320747801,0.0,-0.0047339707126527,0.0245559094062052
38,-0.0202415666997906,0.0162142346799582,-0.0173658393975074,0.0,0.0521691767001845,-0.0030037736109351,0.0,0.0116912352549482,0.0033727563522579
39,-0.006839366922636,-0.0104613831764759,-0.0157613325144524,0.0,0.0027688699314186,-0.0057826343795148,0.0,-0.0049060130718511,-0.0081137914643163
40,0.0097562121628089,-0.0009566201364898,0.0081389958616166,-0.0249690249604735,0.0091743236988325,-0.0065773269787118,0.0111858069827533,0.0237925526285225,0.0081137914643164
41,-0.0127016961912063,-0.0009573221296321,-0.0152674322479719,0.0,-0.0064131868975374,-0.0020324641472484,0.0,0.0024981277805352,-0.0006738398819985
42,-0.0138616422114994,-0.0144719936134089,0.0,0.0038287764178198,-0.0270160779242711,-0.0058665022603551,-0.0022271974466826,-0.002798310701984,-0.0013485477166418
43,0.0177870605619784,-0.0038948699987802,0.018293011936337,-0.0267574574803633,0.0140648937475684,-0.0079620652551452,0.0,-0.0072318639649759,0.0
44,0.0107160945693092,0.0009751678312953,-0.0463760454378484,0.0239743656152793,-0.024506432556405,-0.0080258640072968,0.0,0.0010076182566945,-0.0273614876673378
45,-0.0136586893817687,-0.0058652129609884,0.0317685384432606,0.0,-0.0019101729294405,0.0018179474193569,0.0,-0.0148121478344898,0.0293838752659782
46,-0.0069000420267007,-0.0058995964056221,-0.2369767872574827,0.0,-0.0009565021250351,-0.0020779691529328,0.0,-0.0086224754459609,-0.0013478038468482
47,0.0157020694397146,-0.0009868242197652,0.0494608598483407,0.0,0.0057252465077093,0.0238932388195799,0.0022271974466825,0.0026768484363782,0.0264179238995927
48,-0.0117534006087934,-0.0009875782315864,0.02040611323844,0.0,0.0428370919624822,-0.006622457049696,0.0,-0.0026768484363782,0.0073936600170806
49,0.0175786078413082,-0.0199608760941285,0.0081191675594615,0.0,0.0375715089726908,-0.0113083639280586,0.0,-0.0166323840546043,0.011085664119801
50,-0.0107056648422581,0.0060302656153354,-0.0592217265228812,0.0,0.0096112277676423,0.0082368311219873,0.0,-0.0254791012955225,0.0272821747424428
51,0.0241674394830078,0.0099701829802892,-0.0260757609245432,0.0170974144405615,0.0308243292524188,-0.00436730913098,0.0066519836659964,-0.0177917405648251,0.0
52,-0.0124941665492969,0.0029716520013339,-0.0383992178812179,0.0,-0.0101695697175705,-0.0059393221969762,0.0,0.0030600983365457,0.003757236512885
53,-0.0009676080914527,-0.0099402283181445,0.0065872346694115,0.0,0.0202367595725926,0.0038773157160375,0.0,-0.0070083444081265,-0.0011256664444096
54,-0.0077745701614624,0.012903406266666,0.0030258853037412,0.0,0.0049958822356763,0.0110328782838575,0.0,0.0054794657646255,0.0011256664444096
55,-0.0177170291593868,-0.0239533999320415,-0.0019155125439612,0.0,-0.0252326418082689,-0.0015320298658672,0.0,-0.0054794657646255,-0.0078025025769169
56,-0.0079761066756632,0.009049812138834,-0.008715106626342,0.0,0.0293768823436485,0.0025521492714553,0.0,0.0659111735528575,-0.0118188302042891
57,-0.0284282835175061,-0.0141130631172925,-0.0045904167820978,0.0,-0.0091401227710557,0.0005097725186318,0.0,0.0122701394953993,0.0111659231708863
58,0.010246030119793,-0.0132858396286231,-0.0492504855014203,0.0,0.006655671616481,0.0146689487584842,0.0,0.012121329705376,-0.003926729593849
59,0.0320990132061657,0.0243915015880888,0.0306742318434595,0.0,0.0090796871753269,0.0030082915758568,0.02077701591137,-0.0172155841479213,0.0045796366272518
60,-0.0019763304841697,0.0060060079414986,-0.0221180760003845,0.0,0.0154915109841689,0.0,0.0,0.0042808970313144,0.0434296358310052
61,0.0019763304841696,0.007952380733243,0.0074270647417459,0.0,0.0192314199801845,-0.0110748609131195,0.0423792541314572,-0.003259983483304,-0.0062696743265332
62,0.0088452813458016,0.0176648970769376,-0.0355066617455624,0.0,0.0548188197006363,0.0078155284991577,0.02661373114618,-0.0092261190878026,-0.0094786498175094
63,0.0029310946807957,-0.0286158845938527,-0.0021929412641378,0.0,-0.012093934318775,0.010989014164721,0.0,-0.0080653811906115,0.0
64,0.0038948405543522,-0.0010014251369373,0.0021929412641378,0.0,0.0007601846876779,0.0103781588024924,0.0,0.0101230421642185,0.0010151933413512
65,-0.0285874531447237,0.0020021835569931,0.0,0.0,0.0150832281083419,-0.0044345719426224,-0.0010106227814408,0.0339495171728163,0.0178531044485251
66,0.0099503686224472,-0.002002183556993,0.0687739266621614,0.0,0.0446470499726276,0.0019733049028842,0.0,-0.0079793265446568,0.0123842537940054
67,-0.0019822065421142,0.0020021835569931,0.0,0.0,0.0078431529279761,-0.0069237707588153,0.0010106227814407,0.0033989470095635,-0.0242928344287528
68,-0.0029806015907007,0.0148884606111775,-0.0164954720911896,0.0,-0.0114286849241317,0.0145340048512863,0.0,-0.0403231087245844,-0.0223151946316102
69,0.0284472303536544,-0.0039488091865473,0.0154721349020866,0.0,0.0035855319961556,-0.0044117468489755,0.0,0.0047683214307074,0.0342237752663575
70,-0.0019361533552127,0.0263559938420827,-0.0051305228115254,0.0,0.0233473582206476,0.0075860236879873,0.0,0.0162071643320894,-0.0125392505452779
71,-0.0195700779311912,0.0067210113835751,0.0041067028293879,0.0270286462598562,-0.0105449534737088,0.0012182884330396,0.0,0.0087124512036549,-0.0210399579950776
72,0.0253672362119508,0.0558285105005877,0.084446513577729,-0.0036734257862342,-0.0156697874307317,0.0043731593778277,0.0,-0.0164755356859781,0.0
73,0.0038461548842174,-0.0303191903694681,-0.0432967192891279,0.0,0.0128389318333243,0.0142016465705843,0.0,0.0150623993846013,0.0153455086093656
74,0.0066953569420587,0.0303191903694682,0.0009828906235263,0.000501757581492,-0.0606246175921508,-0.0011957578800115,0.0,-0.0195844504148927,0.011983765672992
75,0.0538163185635683,-0.0063549070835325,0.0,-0.013635450111639,-0.0438700357379984,0.0187275820078701,-0.0101523779663425,-0.018925381921721,-0.0416059930849353
76,0.0063035461653321,-0.0399496053794791,-0.0380428907760847,0.0,-0.0709054458593477,-0.0187275820078702,-0.0010209405314402,-0.0339522334988726,-0.0198026659127675
77,-0.0263771501730881,0.1170454846323777,-0.0150098291591059,0.0,0.0233733288554981,0.0144913090944386,0.0,0.0013023131641185,-0.0318347248754528
78,0.0326411253420418,0.0509558964641014,0.0,-0.0255786273657082,-0.0395508239313218,0.0068161944504617,-0.004094217355788,0.0140013388314192,0.0217844089153451
79,0.0115300712683183,-0.0137153566472417,0.1476480673719707,0.0,0.044489140069707,0.0086297846257853,0.0152675358535708,0.0518920796690216,0.0357181356511277
80,0.0070298991532666,-0.0040698773413567,-0.0598427415794615,0.0,-0.016556732860588,-0.0023249765229672,-0.0020223743742587,0.0048622028690806,-0.0006500131779149
81,0.0052401401079403,-0.0090128886617566,-0.0047552388131957,0.0,-0.0151390068410551,-0.0049001640663707,-0.0081300035920838,-0.0189743592499742,0.0077720290159889
82,0.0095363195006029,0.0363677262628341,0.0858190169157769,0.0,0.0059146513447967,0.0164717369696856,0.0,0.0366030422730912,-0.0012910616005652
83,-0.0209248929800596,0.0660254729774468,0.0561373246132283,0.0,0.0058798738402911,-0.0009208773848525,0.0,-0.0091761879597071,-0.0195700551602056
84,0.0043955444011139,0.0213164156338363,-0.0083058103442628,0.0,-0.0008378111303188,0.0043662414023386,-0.0020430319555411,0.0,0.0078739471444442
85,0.0344862256973978,-0.0007273999010108,0.0,0.0,0.0033472801876934,0.0036622514006259,0.0,0.0010014870324173,-0.0131579797245319
